,n_unique,top_category
produtor,333,P61
regiao,15,Regiao_2
tecnico,12,Tecnico_6
tipo_instalacao,16,Tipo_1
nutricao,5,N_1
genetica,5,G_1
origem,22,Origem_5
data_alojamento,915,2016-12-27 00:00:00
data_abate,731,2016-01-15 00:00:00
