model,r2_mean,rmse_mean,mae_mean
knn,0.7961026760638953,0.1246025897387432,0.09682030449931953
lasso,-28.649265547531815,0.717070526755266,0.07503426283995071
linear_regression,-336.5659334408107,2.6347378399844397,0.12808774177299626
ridge,-451.15252156914266,3.002871956335631,0.13824947288801823
bayesian_ridge,-517.2718289670042,3.204462200244022,0.1441305832199335
