fold,r2,rmse,mae
1,0.7966985046829094,0.1268233117797645,0.09967218526429843
2,0.8019106072164839,0.12527188846403947,0.09721659846583455
3,0.7900944941245588,0.12867995720416628,0.10000260543136977
4,0.7994520743721013,0.12126035831394111,0.09375580254827938
5,0.7923576999234231,0.1209774329318047,0.09345433078681559
